Тип работ;Наименование работы;Цена;Единица измерения
Дополнительные работы (пол);монтаж деревянного пола (доска);1500;руб.м2
Дополнительные работы (пол);сварка швов (линолеум);200;руб./пог.м
Дополнительные работы (пол);стяжка пола по маячкам;500;руб.м2
Дополнительные работы (пол);наливной пол;400;руб.м2
Интерьерные работы;поклейка обоев (виниловые, флизелиновые);250;руб. м2
Интерьерные работы;поклейка обоев (стеклообои);250;руб.м2
Интерьерные работы;снятие старых обоев;100;руб./м2
Интерьерные работы;монтаж потолочного ПВХ-плинтуса, без подрезки углов на 45 градусов;100;руб./пог.м
Интерьерные работы;монтаж потолочного ПВХ-плинтуса (с подрезкой);150;руб/пог.м
Интерьерные работы;монтаж галтелей с подрезкой углов;150;руб./пог.м
Интерьерные работы;монтаж напольных ПВХ-плинтусов под покраску, с подрезкой углов;350;руб/пог.м
Интерьерные работы;грунтовка стен, полов;100;руб./м2
Интерьерные работы;покраска стен, полов (в 2 слоя);400;руб./м2
Интерьерные работы;шпатлевка (подготовка к покраске, поклейке обоев, выравнивание отверстий и стыков в ГКЛ);300;руб./м2
Интерьерные работы;штукатурка стен;600;руб/м2
Интерьерные работы;штукатурка венецианская;2500;руб/м2
Дополнительные интерьерные работы;выезд специалиста (по городу);500;руб.
Дополнительные интерьерные работы;выезд специалиста (за город);40;руб./км
Общестроительные работы;монтаж профнастила;450;руб/м2
Общестроительные работы;монтаж металлической черепицы;1000;руб/м2
Общестроительные работы;монтаж сайдинга ПВХ;450;руб/м2
Общестроительные работы;монтаж сайдинга металлического;500;руб/м2
Общестроительные работы;монтаж сетки-рабицы для оград, заборов;300;руб/м2
Общестроительные работы;установка водосточной системы;500;руб./пог.м
Общестроительные работы;монтаж гипсокартона;500;руб/м2
Общестроительные работы;монтаж профиля маячкового;150;руб./пог.м
Общестроительные работы;монтаж лестницы чердачной;6000;руб.
Общестроительные работы;монтаж панелей ПВХ во внутренних помещениях;450;руб/м2
Общестроительные работы;монтаж панелей МДФ на стены;550;руб/м2
Общестроительные работы;монтаж плит OSB;850;руб/м2
Общестроительные работы;монтаж листами фанеры;500;руб/м2
Общестроительные работы;монтаж ДСП/ДВП;500;руб/м2
Общестроительные работы;монтаж деревянного пола (доска);1000;руб/м2
Общестроительные работы;монтаж подвесного потолка;950;руб/м2
Общестроительные работы;утепление стен минастой, базальтовым утепляющим блоком;300;руб/м2
Общестроительные работы;утепление труб;350;руб/м2
Общестроительные работы;черновое выравнивание пола;600;руб/м2
Общестроительные работы;выравнивание потолка;500;руб/м2
Общестроительные работы;выравнивание стен;500;руб/м2
Общестроительные работы;наливной пол;350;руб/м2
Общестроительные работы;стяжка пола по маячкам;450;руб/м2
Общестроительные работы;штукатурка стен;500;руб/м2
Общестроительные работы;шпатлевка стен;300;руб/м2
Общестроительные работы;штукатурка венецианская;2500;руб/м2
Общестроительные работы;штукатурка декоративная;2000;руб/м2
Общестроительные работы;грунтовка пола/стен;100;руб/м2
Общестроительные работы;покраска стен (в 2 слоя);400;руб/ м2
Дополнительные общестроительные работы;выезд специалиста (по городу);500;руб.
Дополнительные общестроительные работы;выезд специалиста (за город);40;руб./км
Сантехнические работы;установка душевой кабины (размеры 90*90см), без демонтажа;4000;руб.
Сантехнические работы;установка нестандартной душевой кабины, без демонтажа;4500;руб.
Сантехнические работы;установка стальной ванны, без демонтажа;2500;руб.
Сантехнические работы;установка акриловой ванны (без гидромассажа), без д/м;4000;руб.
Сантехнические работы;установка акриловой ванны (с гидромассажем), без д/м;7000;руб.
Сантехнические работы;установка чугунной ванны, без д/м;5000;руб.
Сантехнические работы;установка унитаза, без демонтажа;1500;руб.
Сантехнические работы;демонтаж ванн, душ/кабин;1500;руб.
Сантехнические работы;установка смесителя для ванны;1200;руб.
Сантехнические работы;установка смесителя для кухни;1500;руб.
Сантехнические работы;установка раковины (с демонтажем);3000;руб.
Сантехнические работы;установка полотенцесушителя (с демонтажем);3500;руб.
Сантехнические работы;установка фильтра для воды (трехступенчатый);1500;руб.
Сантехнические работы;установка насоса, без д/м;2500;руб.
Сантехнические работы;установка радиатора (без д/м);3000;руб.
Сантехнические работы;демонтаж радиатора;1000;руб.
Сантехнические работы;установка газового котла (без запуска);5000;руб.
Сантехнические работы;установка водонагревателя (без постановки на учет в Газсервисе);2500;руб.
Сантехнические работы;установка сифона (на раковину);750;руб.
Сантехнические работы;установка сифона (на ванну);800;руб.
Сантехнические работы;замена счетчика воды;1500;руб.
Сантехнические работы;монтаж полипропиленовых труб (вода);500;руб/точка
Сантехнические работы;монтаж ПВХ труб длиной до 5 м (слив, канализация);1500;руб.
Сантехнические работы;монтаж теплого пола (водяной);800;руб. м2
Сантехнические работы;монтаж теплого пола (электрический);500;руб. м2
Дополнительные сантехнические работы;выезд специалиста (по городу);500;руб.
Дополнительные сантехнические работы;выезд специалиста (за город);40;руб./км
Сварочные работы;Забор из сетки-рабицы (монтаж сетки на прихваты);1500;руб/пог.м
Сварочные работы;Забор/сетка-рабица, (сварка каркаса и прихваты сетки);3000;руб/пог.м
Сварочные работы;Врезка калитки в гаражные ворота;5000;руб.
Сварочные работы;Бытовая каркасная;1000;руб/м2
Сварочные работы;Металлические гаражные ворота;5000;руб.
Сварочные работы;Ограждения нестандартные;8000;руб./пог.м
Сварочные работы;Ограждения простые сварные;3000;руб./пог.м
Сварочные работы;Подрез ворот;3000;руб.
Сварочные работы;Распашные гаражные ворота;10000;руб.
Сварочные работы;Решетка на стандартное окно;5000;руб.
Сварочные работы;Решетка распашная на стандартное окно;8000;руб.
Сварочные работы;Решетки декоративные;8000;руб.
Сварочные работы;Сварочные работы металлоконструкций (навесы, козырьки);1000;руб/м2
Сварочные работы;Стеллажи ,стойки, мебель;1000;руб/м2
Сварочные работы;Усиление ворот;2000;руб/м2
Сварочные работы;Установка замков на воротах;1000;руб.
Дополнительные сварочные работы;выезд специалиста (по городу);500;руб.
Дополнительные сварочные работы;выезд специалиста (за город);40;руб./км
Дополнительные сварочные работы;онлайн-консультация с мастером;бесплатно;
Сплит-системы;монтаж сплит-системы 7 кВт;5500;руб.
Сплит-системы;монтаж сплит-системы 9 кВт;5500;руб.
Сплит-системы;монтаж сплит-системы 12 кВт;6500;руб.
Сплит-системы;монтаж сплит-системы 18 кВт;7500;руб.
Сплит-системы;монтаж сплит-системы 24 кВт;9500;руб.
